entry_threshold,exit_threshold,min_hold_bars,stop_atr_mult,trail_atr_mult,allow_short,start,end,bars,initial_equity,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,calmar,trades,win_rate_pct,profit_factor,expectancy_pct,avg_win_pct,avg_loss_pct,avg_bars_held,long_trades,short_trades,exposure_pct,buy_hold_return_pct
50.0,60.0,12,2.5,3.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,9845.387055340598,-1.5461294465940245,-0.7774021838535039,-21.211682586298252,0.09008295348582357,0.08361204824914402,-0.0366497179415493,847,46.28099173553719,1.041164102047373,-0.30191648862559584,1.504304699063608,-1.8580455118655255,12.139315230224321,847,0,58.78787878787879,555.8986877561996
80.0,95.0,4,4.0,0.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,10013.47646492256,0.13476464922559384,0.06747521666803369,-21.075023789726764,0.08733498255121429,0.06039577494901814,0.003201667402194116,594,52.861952861952865,1.0577517213262135,0.002139296819599943,1.3152541391809915,-1.470425204971389,8.016835016835017,594,0,27.22698684962836,555.8986877561996
80.0,80.0,12,4.0,0.0,True,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,9598.982247898311,-4.010177521016889,-2.02904308069779,-32.82802378409501,0.08196378984747885,0.08066645523367225,-0.061808261564646784,686,45.18950437317784,1.0275895721137078,-0.31275448016916707,1.5942011178007691,-1.884978510410338,13.7332361516035,408,278,53.865065751858204,555.8986877561996
80.0,0.0,12,4.0,3.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,9825.046293580484,-1.7495370641951613,-0.880128901828281,-30.11684985212205,0.07355729540376924,0.05189528111056848,-0.029223803490399464,488,48.77049180327869,1.0384260176132138,-0.2384162334243708,1.437517654601531,-1.833905294825029,12.961065573770492,488,0,36.16352201257862,555.8986877561996
80.0,60.0,12,4.0,0.0,True,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,9571.693580678078,-4.283064193219211,-2.1686404530754433,-32.50184464499273,0.07276685728900036,0.07084828410284695,-0.06672361143691413,686,44.46064139941691,1.0271710338544926,-0.31517012034536407,1.5612404536095392,-1.8172835719365596,13.7332361516035,408,278,53.865065751858204,555.8986877561996
50.0,60.0,12,4.0,3.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,9755.498727330641,-2.445012726693585,-1.232168593487748,-22.59257588961323,0.07211550218979312,0.06661298222727816,-0.05453865019677674,807,47.459727385377946,1.036883864731772,-0.2967220701141489,1.5083037015192644,-1.9272052553396146,12.983890954151176,807,0,59.908519153802175,555.8986877561996
60.0,80.0,4,4.0,0.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,9936.6488209473,-0.6335117905270082,-0.3178024803233592,-18.449632556666185,0.051945508968605295,0.045168362387443706,-0.017225409739042824,999,49.549549549549546,1.0649919222657789,-0.03502334496626685,1.1412331168634648,-1.190275227120468,6.726726726726727,999,0,38.42195540308748,555.8986877561996
50.0,80.0,12,2.5,3.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,9653.611474916059,-3.463885250839416,-1.750176817578819,-21.03309364025264,0.050514457100006405,0.046888021210157275,-0.0832106226270667,847,46.39905548996458,1.0335360796071895,-0.3070925744096293,1.535731687487468,-1.902312695391037,12.139315230224321,847,0,58.78787878787879,555.8986877561996
80.0,60.0,12,4.0,0.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,9671.248779281186,-3.287512207188137,-1.660311817766269,-26.13748724197078,0.04526667401810052,0.031857541735572474,-0.0635222430678107,463,49.24406047516199,1.0274459514247511,-0.264347015963031,1.450154562500081,-1.927778334642135,14.295896328293736,463,0,37.84448256146369,555.8986877561996
80.0,95.0,1,2.5,3.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,9902.219997587006,-0.9778000241299378,-0.490939593646067,-14.129077435052084,0.02990399868612365,0.019386658485372427,-0.03474675511566812,706,50.42492917847026,1.0725818716348634,0.03374308005344573,1.0367617692005482,-0.9864702151933215,4.811614730878187,706,0,19.422527158376216,555.8986877561996
70.0,0.0,12,4.0,0.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,9615.977711851217,-3.8402228814878203,-1.9422015029759376,-28.79929714393524,0.025348005200793847,0.021676876029912646,-0.06743919802171075,650,47.84615384615385,1.0305517034580216,-0.3037138752758799,1.359919558418396,-1.8299380578095665,13.932307692307692,650,0,51.77815894797027,555.8986877561996
60.0,80.0,12,4.0,3.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,9573.101392450608,-4.268986075493919,-2.161433822660219,-28.426641246909355,0.01701490088150892,0.014858400415599708,-0.07603549796426329,709,47.81382228490832,1.0277815236848258,-0.3015105223637413,1.4910504027213742,-1.9438839104822658,12.774330042313117,709,0,51.78387650085763,555.8986877561996
50.0,80.0,12,4.0,3.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,9489.865803334764,-5.101341966652361,-2.588432236657534,-22.98465423634327,0.016706439652344217,0.015433000342908409,-0.11261567000493365,807,47.83147459727385,1.0261462913808905,-0.3049915882605648,1.531318227356228,-1.988639067662185,12.983890954151176,807,0,59.908519153802175,555.8986877561996
60.0,60.0,12,4.0,3.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,9560.25881564507,-4.397411843549303,-2.227194967766044,-28.52791860373365,0.012703563780565839,0.01107488624294213,-0.07807071377000338,709,47.53173483779972,1.0278472786542965,-0.29824123752456916,1.4626736344728488,-1.8934786350061008,12.774330042313117,709,0,51.78387650085763,555.8986877561996
60.0,0.0,12,4.0,0.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,9546.004237654744,-4.539957623452551,-2.3002379985415655,-29.856563679761717,0.0082668824545761,0.0071346566061470905,-0.07704295856729095,662,47.73413897280967,1.0272095206581904,-0.30351613832959257,1.3800299968438168,-1.8410900652509723,13.942598187311178,662,0,52.77301315037164,555.8986877561996
80.0,0.0,12,2.5,0.0,True,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,9198.931248364232,-8.010687516357685,-4.095808936740375,-31.267137942413935,-0.004204447515644021,-0.004065400504969778,-0.13099404698581005,711,42.89732770745429,1.0133370920060456,-0.31654460233963383,1.531463338826178,-1.7048264300627194,12.507735583684951,429,282,50.8461978273299,555.8986877561996
60.0,60.0,12,4.0,0.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,9442.01564064734,-5.579843593526601,-2.8347499977631863,-29.415123245781405,-0.0118510026988764,-0.010170849425325881,-0.09637049534272253,662,48.79154078549849,1.0212889268734797,-0.3029413945987986,1.402138898321473,-1.9275459214815351,13.942598187311178,662,0,52.77301315037164,555.8986877561996
70.0,80.0,4,4.0,0.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,9745.371032527672,-2.54628967472329,-1.2835378772331985,-17.47257520554114,-0.014796229396721584,-0.012656880973134792,-0.07346014323212903,976,49.48770491803279,1.0557511690043933,-0.040104996483356595,1.1190949407944382,-1.1757917504492288,6.677254098360656,976,0,37.26129216695254,555.8986877561996
60.0,80.0,12,4.0,0.0,False,2020-01-01 00:00:00,2021-12-31 00:00:00,17490,10000.0,9416.652392534528,-5.83347607465472,-2.9655647939349605,-29.28105058091419,-0.01514509156861072,-0.013004853428972323,-0.10127931666044654,662,49.39577039274924,1.0193304018725957,-0.3015571618834012,1.4319034352813993,-1.9936216850860573,13.942598187311178,662,0,52.77301315037164,555.8986877561996
