rule,action,phase,signals,frequency,edge_6h,t_6h,hit_6h,edge_24h,t_24h,hit_24h,edge_72h,t_72h,hit_72h,edge_mean,good_horizons,enough_signals,selective,keep,bars,reason
ANTI_LATE_WAVE,EXIT,market,4745,0.2712978845054317,0.010094775292699573,0.33524746286621304,0.5104320337197049,0.08717064919232131,1.4288393896062268,0.5183544303797468,-0.1396398498165239,-1.4611380426274558,0.5001057305984352,-0.014124808443834333,0,True,True,False,17490,no consistent edge
DEFENSE_01,EXIT10,score,7196,0.4114351057747284,-0.020363947788867742,-0.8773575360036021,0.5096594857539958,-0.021033846692989078,-0.43928648791388913,0.5077222763322666,-0.0044390289041069675,-0.055601059259949,0.5055819145967066,-0.015278941128654596,0,True,False,False,17490,fires too often
DNA_EXHAUSTION,EXIT,market,245,0.01400800457404231,-0.020745586324974627,-0.17711477950510257,0.5387755102040817,0.09699268476840947,0.4097803441560228,0.5346938775510204,-0.12832539019186684,-0.2796185245144611,0.5142857142857142,-0.017359430582810666,0,True,True,False,17490,no consistent edge
HIDDEN_EXHAUSTION,EXIT50,market,2763,0.15797598627787307,-0.014656785930040522,-0.401339515512497,0.5023525153818313,0.03368395840662075,0.4567813291793639,0.520463600144875,-0.08107001937636049,-0.624607439507272,0.5032679738562091,-0.02068094896659342,0,True,True,False,17490,no consistent edge
ANTI_FIBO,EXIT,market,1709,0.09771297884505431,0.02794433206750322,0.44458466743292135,0.4809830310122879,0.04225138038000881,0.3766447808147945,0.497366881217086,-0.14033581172445753,-0.8794345238669836,0.5079740106320142,-0.023380033092315167,0,True,True,False,17490,no consistent edge
TREND_RESUME_02,LONG,market,548,0.03133218982275586,-0.047419083655815444,-0.6283832096355244,0.44343065693430656,-0.022659154817941507,-0.1498472255135755,0.4562043795620438,-0.014128427303837787,-0.054285151793076754,0.4926739926739927,-0.02806888859253158,0,True,True,False,17490,no consistent edge
TREND_RESUME_03,LONG,market,548,0.03133218982275586,-0.047419083655815444,-0.6283832096355244,0.44343065693430656,-0.022659154817941507,-0.1498472255135755,0.4562043795620438,-0.014128427303837787,-0.054285151793076754,0.4926739926739927,-0.02806888859253158,0,True,True,False,17490,no consistent edge
SHOOTING_SELL,SHORT,market,735,0.04202401372212693,0.004980716840016011,0.06675237998315736,0.49387755102040815,-0.02052807442280241,-0.14723225498037604,0.519781718963165,-0.07664143091535291,-0.32442611135138993,0.4918032786885246,-0.03072959616604644,0,True,True,False,17490,no consistent edge
DEFENSE_02,EXIT25,score,6510,0.37221269296740994,-0.007208454912834089,-0.2851720564615049,0.5134470570155217,-0.04860649233780362,-0.953728889378551,0.5076142131979695,-0.051908571278767024,-0.6124671364807274,0.5013103129335594,-0.03590783950980158,0,True,False,False,17490,fires too often
EARLY_EXHAUSTION_SELL,EXIT25,market,4199,0.2400800457404231,-0.01654115531037549,-0.5561857006597011,0.5100047641734159,-0.052208533635580756,-0.9117305881985279,0.5137133317433819,-0.06973915925264462,-0.6767515084101402,0.5,-0.046162949399533616,0,True,True,False,17490,no consistent edge
